CompanyId,CompanyName,Followers,CurrentStockPrice,CurrentGrowthRate,PredictedStockPrice,PredictedGrowthRate,,,,,,,
HI,Hillenbrand Inc Common Stock,93,39.44,-2.085%,39.44,-2.085%,,,,,,,
HIG,Hartford Financial Services Group Inc. (The) Common Stock,64,68,1.796%,68,1.796%,,,,,,,
HII,Huntington Ingalls Industries Inc. Common Stock,48,243.14,1.916%,243.14,1.916%,,,,,,,
HIW,Highwoods Properties Inc. Common Stock,52,25.43,-3.674%,25.43,-3.674%,,,,,,,
HL,Hecla Mining Company Common Stock,62,4.31,-3.579%,4.31,-3.579%,,,,,,,
HLI,Houlihan Lokey Inc. Class A Common Stock,21,80.54,-1.552%,80.54,-1.552%,,,,,,,
HLNE,Hamilton Lane Incorporated Class A Common Stock,28,59.19,-3.30%,59.19,-3.30%,,,,,,,
HOG,Harley-Davidson Inc. Common Stock,7,34.83,-5.07%,34.83,-5.07%,,,,,,,
HOLX,Hologic Inc. Common Stock,46,62.17,-2.601%,62.17,-2.601%,,,,,,,
HOMB,Home BancShares Inc. Common Stock,3,25.03,-0.675%,25.03,-0.675%,,,,,,,
HON,Honeywell International Inc. Common Stock,47,179.28,-0.334%,179.28,-0.334%,,,,,,,
HOOD,Robinhood Markets Inc. Class A Common Stock,19,10.11,-3.161%,10.11,-3.161%,,,,,,,
HP,Helmerich & Payne Inc. Common Stock,89,42.91,-0.279%,42.91,-0.279%,,,,,,,
HPE,Hewlett Packard Enterprise Company Common Stock,87,12.82,-0.389%,12.82,-0.389%,,,,,,,
HPK,HighPeak Energy Inc. Common Stock,43,22.11,3.949%,22.11,3.949%,,,,,,,
HPQ,HP Inc. Common Stock,10,25.49,-0.235%,25.49,-0.235%,,,,,,,
HQY,HealthEquity Inc. Common Stock,46,72.45,0.36%,72.45,0.36%,,,,,,,
HR,Healthcare Realty Trust Incorporated Common Stock,40,19.02,-3.501%,19.02,-3.501%,,,,,,,
HRB,H&R Block Inc. Common Stock,1,40.3,-1.97%,40.3,-1.97%,,,,,,,
HRL,Hormel Foods Corporation Common Stock,85,46.12,0.765%,46.12,0.765%,,,,,,,
HRMY,Harmony Biosciences Holdings Inc. Common Stock,62,50.19,-1.992%,50.19,-1.992%,,,,,,,
HSIC,Henry Schein Inc. Common Stock,45,67.68,-1.11%,67.68,-1.11%,,,,,,,
HST,Host Hotels & Resorts Inc. Common Stock,26,17.53,-0.68%,17.53,-0.68%,,,,,,,
HSY,The Hershey Company Common Stock,38,226.26,-0.462%,226.26,-0.462%,,,,,,,
HTZ,Hertz Global Holdings Inc Common Stock,84,17.05,-1.217%,17.05,-1.217%,,,,,,,
HUBB,Hubbell Inc Common Stock,57,217.71,-5.257%,217.71,-5.257%,,,,,,,
HUBG,Hub Group Inc. Class A Common Stock,90,73.09,-2.221%,73.09,-2.221%,,,,,,,
HUBS,HubSpot Inc. Common Stock,67,263.57,-4.504%,263.57,-4.504%,,,,,,,
HUM,Humana Inc. Common Stock,76,500.21,-0.293%,500.21,-0.293%,,,,,,,
HUN,Huntsman Corporation Common Stock,35,26.25,-2.162%,26.25,-2.162%,,,,,,,
HWC,Hancock Whitney Corporation Common Stock,71,52.82,4.656%,52.82,4.656%,,,,,,,
HWM,Howmet Aerospace Inc. Common Stock,40,34.24,1.874%,34.24,1.874%,,,,,,,
HXL,Hexcel Corporation Common Stock,87,56.25,0.196%,56.25,0.196%,,,,,,,
IAC,IAC Inc. Common Stock,48,48.37,-4.218%,48.37,-4.218%,,,,,,,
IART,Integra LifeSciences Holdings Corporation Common Stock,72,43.21,-2.942%,43.21,-2.942%,,,,,,,
IBKR,Interactive Brokers Group Inc. Class A Common Stock,81,76.09,6.913%,76.09,6.913%,,,,,,,
IBM,International Business Machines Corporation Common Stock,23,122.51,-0.35%,122.51,-0.35%,,,,,,,
IBOC,International Bancshares Corporation Common Stock,52,47.06,-0.444%,47.06,-0.444%,,,,,,,
IBTX,Independent Bank Group Inc Common Stock,55,67.28,-1.219%,67.28,-1.219%,,,,,,,
ICE,Intercontinental Exchange Inc. Common Stock,57,91.63,-1.165%,91.63,-1.165%,,,,,,,
ICFI,ICF International Inc. Common Stock,9,114.8,-0.373%,114.8,-0.373%,,,,,,,
ICUI,ICU Medical Inc. Common Stock,45,144.16,-1.267%,144.16,-1.267%,,,,,,,
IDA,IDACORP Inc. Common Stock,28,97.46,-1.176%,97.46,-1.176%,,,,,,,
IDXX,IDEXX Laboratories Inc. Common Stock,75,335.49,-1.949%,335.49,-1.949%,,,,,,,
IEP,Icahn Enterprises L.P. Common Stock,53,53.68,0.902%,53.68,0.902%,,,,,,,
IEX,IDEX Corporation Common Stock,95,204.06,-0.995%,204.06,-0.995%,,,,,,,
IFF,International Flavors & Fragrances Inc. Common Stock,87,92.55,-0.151%,92.55,-0.151%,,,,,,,
IGT,International Game Technology Ordinary Shares,76,18.47,-2.378%,18.47,-2.378%,,,,,,,
IIPR,Innovative Industrial Properties Inc. Common Stock,51,93.55,-2.359%,93.55,-2.359%,,,,,,,
ILMN,Illumina Inc. Common Stock,48,204.73,-1.893%,204.73,-1.893%,,,,,,,
INCY,Incyte Corp. Common Stock,60,69.59,-2.138%,69.59,-2.138%,,,,,,,
INDB,Independent Bank Corp. Common Stock,17,82.42,0.195%,82.42,0.195%,,,,,,,
INGR,Ingredion Incorporated Common Stock,21,83.92,-0.06%,83.92,-0.06%,,,,,,,
INSM,Insmed Inc. Common Stock,37,18.78,-14.675%,18.78,-14.675%,,,,,,,
INSP,Inspire Medical Systems Inc. Common Stock,100,173.13,-3.463%,173.13,-3.463%,,,,,,,
INTC,Intel Corporation Common Stock,33,26,0.503%,26,0.503%,,,,,,,
INTU,Intuit Inc. Common Stock,25,402.07,-1.61%,402.07,-1.61%,,,,,,,
INVH,Invitation Homes Inc. Common Stock,85,32.5,-2.373%,32.5,-2.373%,,,,,,,
IONS,Ionis Pharmaceuticals Inc. Common Stock,41,44.47,-3.745%,44.47,-3.745%,,,,,,,
IOSP,Innospec Inc. Common Stock,56,93.67,0.504%,93.67,0.504%,,,,,,,
IP,International Paper Company Common Stock,84,32.56,-2.922%,32.56,-2.922%,,,,,,,
IPAR,Inter Parfums Inc. Common Stock,7,78.25,-1.622%,78.25,-1.622%,,,,,,,
IPG,Interpublic Group of Companies Inc. (The) Common Stock,51,28.49,-2.765%,28.49,-2.765%,,,,,,,
IPGP,IPG Photonics Corporation Common Stock,28,85.3,-2.592%,85.3,-2.592%,,,,,,,
IQV,IQVIA Holdings Inc. Common Stock,36,178.39,-3.222%,178.39,-3.222%,,,,,,,
IR,Ingersoll Rand Inc. Common Stock,88,46.31,-1.51%,46.31,-1.51%,,,,,,,
IRDM,Iridium Communications Inc Common Stock,22,47.49,-3.827%,47.49,-3.827%,,,,,,,
IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT,70,46.24,-1.888%,46.24,-1.888%,,,,,,,
IRT,Independence Realty Trust Inc. Common Stock,62,15.55,-2.569%,15.55,-2.569%,,,,,,,
IRTC,iRhythm Technologies Inc. Common Stock,27,119.27,-1.438%,119.27,-1.438%,,,,,,,
ISEE,IVERIC bio Inc. Common Stock,11,21.39,-1.836%,21.39,-1.836%,,,,,,,
ISRG,Intuitive Surgical Inc. Common Stock,83,211.14,8.987%,211.14,8.987%,,,,,,,
IT,Gartner Inc. Common Stock,68,286.27,-1.303%,286.27,-1.303%,,,,,,,
ITCI,Intra-Cellular Therapies Inc. Common Stock,27,46.88,-3.698%,46.88,-3.698%,,,,,,,
ITT,ITT Inc. Common Stock ,36,69.89,-1.66%,69.89,-1.66%,,,,,,,
ITW,Illinois Tool Works Inc. Common Stock,44,191.95,-0.734%,191.95,-0.734%,,,,,,,
IVZ,Invesco Ltd Common Stock,97,14.64,-1.942%,14.64,-1.942%,,,,,,,
JAMF,Jamf Holding Corp. Common Stock,46,22.92,-1.757%,22.92,-1.757%,,,,,,,
JBGS,JBG SMITH Properties Common Shares ,91,18.74,-1.782%,18.74,-1.782%,,,,,,,
JBHT,J.B. Hunt Transport Services Inc. Common Stock,75,167.96,0.042%,167.96,0.042%,,,,,,,
JBL,Jabil Inc. Common Stock,79,59.78,-1.678%,59.78,-1.678%,,,,,,,
JBLU,JetBlue Airways Corporation Common Stock,85,6.85,-1.862%,6.85,-1.862%,,,,,,,
JBT,John Bean Technologies Corporation Common Stock,61,95.03,-2.182%,95.03,-2.182%,,,,,,,
JEF,Jefferies Financial Group Inc. Common Stock,27,32.36,-0.706%,32.36,-0.706%,,,,,,,
JJSF,J & J Snack Foods Corp. Common Stock,72,137.76,-1.077%,137.76,-1.077%,,,,,,,
JKHY,Jack Henry & Associates Inc. Common Stock,54,187.11,-0.974%,187.11,-0.974%,,,,,,,
JLL,Jones Lang LaSalle Incorporated Common Stock,15,156.3,-4.759%,156.3,-4.759%,,,,,,,
JNJ,Johnson & Johnson Common Stock,14,164.69,-0.795%,164.69,-0.795%,,,,,,,
JNPR,Juniper Networks Inc. Common Stock,86,27.37,-0.255%,27.37,-0.255%,,,,,,,
JOBY,Joby Aviation Inc. Common Stock,46,4.29,-1.152%,4.29,-1.152%,,,,,,,
JPM,JP Morgan Chase & Co. Common Stock,44,116.51,-1.961%,116.51,-1.961%,,,,,,,
JWN,Nordstrom Inc. Common Stock,95,19.72,-1.301%,19.72,-1.301%,,,,,,,
K,Kellogg Company Common Stock,28,73.58,0.122%,73.58,0.122%,,,,,,,
KBH,KB Home Common Stock,89,26.64,-4.55%,26.64,-4.55%,,,,,,,
KBR,KBR Inc. Common Stock,56,46.93,-0.593%,46.93,-0.593%,,,,,,,
KDP,Keurig Dr Pepper Inc. Common Stock,85,37.78,-1.538%,37.78,-1.538%,,,,,,,
KEX,Kirby Corporation Common Stock,18,68.76,0.644%,68.76,0.644%,,,,,,,
KEY,KeyCorp Common Stock,40,16.49,-2.886%,16.49,-2.886%,,,,,,,
KEYS,Keysight Technologies Inc. Common Stock,91,161.15,-0.031%,161.15,-0.031%,,,,,,,
KFY,Korn Ferry Common Stock,56,52.34,-1.524%,52.34,-1.524%,,,,,,,
KHC,The Kraft Heinz Company Common Stock,50,36.29,0.61%,36.29,0.61%,,,,,,,
KIM,Kimco Realty Corporation Common Stock,52,19.1,-2.898%,19.1,-2.898%,,,,,,,
KKR,KKR & Co. Inc. Common Stock,88,45.77,-1.443%,45.77,-1.443%,,,,,,,
KLAC,KLA Corporation Common Stock,68,271.96,1.191%,271.96,1.191%,,,,,,,
KMB,Kimberly-Clark Corporation Common Stock,58,114.94,-0.468%,114.94,-0.468%,,,,,,,
KMI,Kinder Morgan Inc. Common Stock,38,17.99,1.238%,17.99,1.238%,,,,,,,
KMPR,Kemper Corporation,43,45.62,-1.617%,45.62,-1.617%,,,,,,,
KMX,CarMax Inc,16,57.5,-5.256%,57.5,-5.256%,,,,,,,
KNBE,KnowBe4 Inc. Class A Common Stock,7,24.48,0.41%,24.48,0.41%,,,,,,,
KNSL,Kinsale Capital Group Inc. Common Stock,16,281.13,-0.496%,281.13,-0.496%,,,,,,,
KNTK,Kinetik Holdings Inc. Class A Common Stock,38,35.93,0.419%,35.93,0.419%,,,,,,,
KNX,Knight-Swift Transportation Holdings Inc.,21,49.42,-1.061%,49.42,-1.061%,,,,,,,
KO,Coca-Cola Company (The) Common Stock,32,55.96,-0.85%,55.96,-0.85%,,,,,,,
KR,Kroger Company (The) Common Stock,26,42.94,-0.51%,42.94,-0.51%,,,,,,,
KRC,Kilroy Realty Corporation Common Stock,1,41.17,-3.606%,41.17,-3.606%,,,,,,,
KRG,Kite Realty Group Trust Common Stock,20,17.74,-3.639%,17.74,-3.639%,,,,,,,
KRTX,Karuna Therapeutics Inc. Common Stock,5,203.88,-3.26%,203.88,-3.26%,,,,,,,
KSS,Kohl's Corporation Common Stock,63,28.49,-1.487%,28.49,-1.487%,,,,,,,
KW,Kennedy-Wilson Holdings Inc. Common Stock,27,15.5,-1.525%,15.5,-1.525%,,,,,,,
KWR,Quaker Houghton Common Stock,96,141.32,-4.662%,141.32,-4.662%,,,,,,,
L,Loews Corporation Common Stock,19,54.54,-0.128%,54.54,-0.128%,,,,,,,
LAD,Lithia Motors Inc. Common Stock,39,194.21,-6.342%,194.21,-6.342%,,,,,,,
LAMR,Lamar Advertising Company Class A Common Stock,37,87.02,-1.927%,87.02,-1.927%,,,,,,,
LANC,Lancaster Colony Corporation Common Stock,96,168.26,-0.249%,168.26,-0.249%,,,,,,,
LAZR,Luminar Technologies Inc.  Class A Common Stock,18,6.88,-6.901%,6.88,-6.901%,,,,,,,
LBRDA,Liberty Broadband Corporation Class A Common Stock,80,75.69,-2.235%,75.69,-2.235%,,,,,,,
LBRDK,Liberty Broadband Corporation Class C Common Stock,55,75.11,-2.213%,75.11,-2.213%,,,,,,,
LBRT,Liberty Energy Inc. Class A common stock,33,16.26,5.584%,16.26,5.584%,,,,,,,
LCID,Lucid Group Inc. Common Stock,11,12.64,-2.844%,12.64,-2.844%,,,,,,,
LCII,LCI Industries,40,97.65,-4.358%,97.65,-4.358%,,,,,,,
LDOS,Leidos Holdings Inc. Common Stock,14,93.19,-0.576%,93.19,-0.576%,,,,,,,
LEA,Lear Corporation Common Stock,73,126.82,-1.046%,126.82,-1.046%,,,,,,,
LECO,Lincoln Electric Holdings Inc. Common Shares,92,130.01,0.154%,130.01,0.154%,,,,,,,
LEG,Leggett & Platt Incorporated Common Stock,87,31.51,-3.991%,31.51,-3.991%,,,,,,,
LEGN,Legend Biotech Corporation American Depositary Shares,70,45.01,-1.96%,45.01,-1.96%,,,,,,,
LEN,Lennar Corporation Class A Common Stock,56,72.29,-5.958%,72.29,-5.958%,,,,,,,
LESL,Leslie's Inc. Common Stock,99,13.7,-5.125%,13.7,-5.125%,,,,,,,
LEVI,Levi Strauss & Co Class A Common Stock,93,14.22,-2.201%,14.22,-2.201%,,,,,,,
LFG,Archaea Energy Inc. Class A Common Stock,60,25.77,-0.155%,25.77,-0.155%,,,,,,,
LFST,LifeStance Health Group Inc. Common Stock,24,7.32,-8.156%,7.32,-8.156%,,,,,,,
LFUS,Littelfuse Inc. Common Stock,24,204.75,-1.491%,204.75,-1.491%,,,,,,,
LH,Laboratory Corporation of America Holdings Common Stock,70,208.82,-1.958%,208.82,-1.958%,,,,,,,
LHCG,LHC Group Common Stock,16,165.55,0.236%,165.55,0.236%,,,,,,,
LHX,L3Harris Technologies Inc. Common Stock,85,237.61,0.435%,237.61,0.435%,,,,,,,
LII,Lennox International Inc. Common Stock,42,216.54,-4.83%,216.54,-4.83%,,,,,,,
LITE,Lumentum Holdings Inc. Common Stock,83,70.49,-0.746%,70.49,-0.746%,,,,,,,
LKQ,LKQ Corporation Common Stock,62,51.15,-0.564%,51.15,-0.564%,,,,,,,
LLY,Eli Lilly and Company Common Stock,17,329.29,-1.713%,329.29,-1.713%,,,,,,,
LMT,Lockheed Martin Corporation Common Stock,1,439.96,1.88%,439.96,1.88%,,,,,,,
LNC,Lincoln National Corporation Common Stock,43,48.47,-2.18%,48.47,-2.18%,,,,,,,
LNG,Cheniere Energy Inc. Common Stock,85,170.75,1.655%,170.75,1.655%,,,,,,,
LNT,Alliant Energy Corporation Common Stock,77,50.35,-1.119%,50.35,-1.119%,,,,,,,
LNTH,Lantheus Holdings Inc. Common Stock,82,70.55,-2.931%,70.55,-2.931%,,,,,,,
LNW,Light & Wonder Inc. Common Stock,62,49.58,-1.958%,49.58,-1.958%,,,,,,,
LOGI,Logitech International S.A. Ordinary Shares,8,43.28,-3.908%,43.28,-3.908%,,,,,,,
LOPE,Grand Canyon Education Inc. Common Stock,65,84.77,-1.039%,84.77,-1.039%,,,,,,,
LOW,Lowe's Companies Inc. Common Stock,12,183.94,-4.793%,183.94,-4.793%,,,,,,,
LPLA,LPL Financial Holdings Inc. Common Stock,18,237.06,-2.082%,237.06,-2.082%,,,,,,,
LPX,Louisiana-Pacific Corporation Common Stock,48,53.96,-4.071%,53.96,-4.071%,,,,,,,
LRCX,Lam Research Corporation Common Stock,2,330.08,2.49%,330.08,2.49%,,,,,,,
LSCC,Lattice Semiconductor Corporation Common Stock,31,47.44,-0.42%,47.44,-0.42%,,,,,,,
LSI,Life Storage Inc. Common Stock,16,103.03,-3.24%,103.03,-3.24%,,,,,,,
LSTR,Landstar System Inc. Common Stock,46,143.63,-3.507%,143.63,-3.507%,,,,,,,
LSXMA,Liberty Media Corporation Series A Liberty SiriusXM Common Stock,5,40.68,-1.214%,40.68,-1.214%,,,,,,,
LSXMB,Liberty Media Corporation Series B Liberty SiriusXM Common Stock,91,41.01,-2.912%,41.01,-2.912%,,,,,,,
LSXMK,Liberty Media Corporation Series C Liberty SiriusXM Common Stock,19,40.41,-1.367%,40.41,-1.367%,,,,,,,
LTHM,Livent Corporation Common Stock,75,28.42,-0.837%,28.42,-0.837%,,,,,,,
LTRPB,Liberty TripAdvisor Holdings Inc. Series B Common Stock,23,28.75,-1.033%,28.75,-1.033%,,,,,,,
LUMN,Lumen Technologies Inc. Common Stock,21,6.85,-3.249%,6.85,-3.249%,,,,,,,
LUV,Southwest Airlines Company Common Stock,74,33.12,-0.57%,33.12,-0.57%,,,,,,,
LVS,Las Vegas Sands Corp. Common Stock,98,35.6,-0.697%,35.6,-0.697%,,,,,,,
LXP,LXP Industrial Trust Common Stock (Maryland REIT),7,9.18,-3.47%,9.18,-3.47%,,,,,,,
LYFT,Lyft Inc. Class A Common Stock,63,13.02,-2.032%,13.02,-2.032%,,,,,,,
LYV,Live Nation Entertainment Inc. Common Stock,32,79.62,0.025%,79.62,0.025%,,,,,,,
M,Macy's Inc Common Stock,93,18.76,-1.107%,18.76,-1.107%,,,,,,,
MA,Mastercard Incorporated Common Stock,18,297.76,-0.872%,297.76,-0.872%,,,,,,,
MAA,Mid-America Apartment Communities Inc. Common Stock,61,147.61,-2.05%,147.61,-2.05%,,,,,,,
MAIN,Main Street Capital Corporation Common Stock,79,34.85,0.288%,34.85,0.288%,,,,,,,
MAN,ManpowerGroup Common Stock,38,72.27,-2.732%,72.27,-2.732%,,,,,,,
MANH,Manhattan Associates Inc. Common Stock,12,126.96,-3.357%,126.96,-3.357%,,,,,,,
MAR,Marriott International Class A Common Stock,44,149.99,0.00%,149.99,0.00%,,,,,,,
MAS,Masco Corporation Common Stock,7,46.35,-4.747%,46.35,-4.747%,,,,,,,
MASI,Masimo Corporation Common Stock,51,135.08,-2.624%,135.08,-2.624%,,,,,,,
MAT,Mattel Inc. Common Stock,84,19.37,-2.32%,19.37,-2.32%,,,,,,,
MATX,Matson Inc. Common Stock,50,70.96,-3.285%,70.96,-3.285%,,,,,,,
MCD,McDonald's Corporation Common Stock,67,250.75,0.626%,250.75,0.626%,,,,,,,
MCHP,Microchip Technology Incorporated Common Stock,14,59.32,0.084%,59.32,0.084%,,,,,,,
MCK,McKesson Corporation Common Stock,35,360.66,-0.061%,360.66,-0.061%,,,,,,,
MCO,Moody's Corporation Common Stock,90,241.88,-1.647%,241.88,-1.647%,,,,,,,
MDB,MongoDB Inc. Class A Common Stock,37,184.77,-2.737%,184.77,-2.737%,,,,,,,
MDC,M.D.C. Holdings Inc. Common Stock,7,28.61,-4.697%,28.61,-4.697%,,,,,,,
MDLZ,Mondelez International Inc. Class A Common Stock,33,57.7,-1.114%,57.7,-1.114%,,,,,,,
MDT,Medtronic plc. Ordinary Shares,33,83.66,-0.523%,83.66,-0.523%,,,,,,,
MDU,MDU Resources Group Inc. Common Stock (Holding Company),84,28.7,-0.795%,28.7,-0.795%,,,,,,,
MEDP,Medpace Holdings Inc. Common Stock,50,157.09,-2.682%,157.09,-2.682%,,,,,,,
MET,MetLife Inc. Common Stock,69,67.34,-0.059%,67.34,-0.059%,,,,,,,
META,Meta Platforms Inc. Class A Common Stock,22,133.23,0.324%,133.23,0.324%,,,,,,,
MGEE,MGE Energy Inc,69,65.91,-0.167%,65.91,-0.167%,,,,,,,
MGM,MGM Resorts International Common Stock,37,32.46,-0.338%,32.46,-0.338%,,,,,,,
MGPI,MGP Ingredients Inc.,70,101.99,-0.546%,101.99,-0.546%,,,,,,,
MGRC,McGrath RentCorp Common Stock,80,85.28,-0.082%,85.28,-0.082%,,,,,,,
MGY,Magnolia Oil & Gas Corporation Class A Common Stock,11,23.88,3.781%,23.88,3.781%,,,,,,,
MHK,Mohawk Industries Inc. Common Stock,58,94.95,-3.945%,94.95,-3.945%,,,,,,,
MIDD,Middleby Corporation (The) Common Stock,99,129.99,-3.561%,129.99,-3.561%,,,,,,,
MKC,McCormick & Company Incorporated Common Stock,70,74.69,0.107%,74.69,0.107%,,,,,,,
MKL,Markel Corporation Common Stock,73,1161.78,-0.545%,1161.78,-0.545%,,,,,,,
MKSI,MKS Instruments Inc. Common Stock,87,77.65,1.397%,77.65,1.397%,,,,,,,
MKTX,MarketAxess Holdings Inc. Common Stock,65,233.47,-3.189%,233.47,-3.189%,,,,,,,
MLI,Mueller Industries Inc. Common Stock,97,62.21,-2.538%,62.21,-2.538%,,,,,,,
MLM,Martin Marietta Materials Inc. Common Stock,57,313.34,-2.167%,313.34,-2.167%,,,,,,,
MMC,Marsh & McLennan Companies Inc. Common Stock,13,156.97,-0.33%,156.97,-0.33%,,,,,,,
MMM,3M Company Common Stock,76,114.2,-1.509%,114.2,-1.509%,,,,,,,
MMP,Magellan Midstream Partners L.P. Limited Partnership,12,49.91,-1.829%,49.91,-1.829%,,,,,,,
MMS,Maximus Inc. Common Stock,73,56.87,-2.436%,56.87,-2.436%,,,,,,,
MMSI,Merit Medical Systems Inc. Common Stock,46,58.03,-1.175%,58.03,-1.175%,,,,,,,
MNST,Monster Beverage Corporation,34,88.24,-2.476%,88.24,-2.476%,,,,,,,
MNTK,Montauk Renewables Inc. Common Stock,18,17.48,1.569%,17.48,1.569%,,,,,,,
MO,Altria Group Inc.,52,44.67,-0.223%,44.67,-0.223%,,,,,,,
MODG,Topgolf Callaway Brands Corp. Common Stock,13,17.43,-3.861%,17.43,-3.861%,,,,,,,
MOH,Molina Healthcare Inc Common Stock,64,353.21,-1.777%,353.21,-1.777%,,,,,,,
MORN,Morningstar Inc. Common Stock,29,214.95,-2.729%,214.95,-2.729%,,,,,,,
MOS,Mosaic Company (The) Common Stock,72,50.72,-0.177%,50.72,-0.177%,,,,,,,
MPC,Marathon Petroleum Corporation Common Stock,77,108.87,0.656%,108.87,0.656%,,,,,,,
MPLX,MPLX LP Common Units Representing Limited Partner Interests,16,32.43,-1.188%,32.43,-1.188%,,,,,,,
MPW,Medical Properties Trust Inc. common stock,20,11,-0.542%,11,-0.542%,,,,,,,
MPWR,Monolithic Power Systems Inc. Common Stock,25,314.83,-0.244%,314.83,-0.244%,,,,,,,
MQ,Marqeta Inc. Class A Common Stock,81,6.82,-7.084%,6.82,-7.084%,,,,,,,
MRCY,Mercury Systems Inc Common Stock,98,44.98,0.671%,44.98,0.671%,,,,,,,
MRK,Merck & Company Inc. Common Stock (new),66,93.26,-1.427%,93.26,-1.427%,,,,,,,
MRNA,Moderna Inc. Common Stock,57,123.52,-7.883%,123.52,-7.883%,,,,,,,
MRO,Marathon Oil Corporation Common Stock,72,28.35,2.866%,28.35,2.866%,,,,,,,
MRTX,Mirati Therapeutics Inc. Common Stock,20,64.03,-6.403%,64.03,-6.403%,,,,,,,
MRVI,Maravai LifeSciences Holdings Inc. Class A Common Stock,15,17.06,-13.181%,17.06,-13.181%,,,,,,,
MS,Morgan Stanley Common Stock,24,77.64,-2.266%,77.64,-2.266%,,,,,,,
MSA,MSA Safety Incorporated Common Stock,70,116.91,-1.657%,116.91,-1.657%,,,,,,,
MSCI,MSCI Inc Common Stock,27,398.79,-2.391%,398.79,-2.391%,,,,,,,
MSFT,Microsoft Corporation Common Stock,54,236.48,-0.847%,236.48,-0.847%,,,,,,,
MSGS,Madison Square Garden Sports Corp. Class A Common Stock (New),66,153.4,-0.143%,153.4,-0.143%,,,,,,,
MSI,Motorola Solutions Inc. Common Stock,46,223.85,-0.644%,223.85,-0.644%,,,,,,,
MSM,MSC Industrial Direct Company Inc. Common Stock,49,77.5,-1.299%,77.5,-1.299%,,,,,,,
MSTR,MicroStrategy Incorporated Common Stock Class A,36,226.08,-3.796%,226.08,-3.796%,,,,,,,
MTB,M&T Bank Corporation Common Stock,46,163.06,-13.889%,163.06,-13.889%,,,,,,,
MTCH,Match Group Inc. Common Stock,83,44.73,-2.719%,44.73,-2.719%,,,,,,,
MTDR,Matador Resources Company Common Stock,17,65.21,5.347%,65.21,5.347%,,,,,,,
MTG,MGIC Investment Corporation Common Stock,5,12.56,-2.028%,12.56,-2.028%,,,,,,,
MTH,Meritage Homes Corporation Common Stock,80,66.76,-6.682%,66.76,-6.682%,,,,,,,
MTN,Vail Resorts Inc. Common Stock,73,211.44,-1.775%,211.44,-1.775%,,,,,,,
MTSI,MACOM Technology Solutions Holdings Inc. Common Stock,100,52.26,-0.457%,52.26,-0.457%,,,,,,,
MTZ,MasTec Inc. Common Stock,47,73.11,0.578%,73.11,0.578%,,,,,,,
MU,Micron Technology Inc. Common Stock,15,53.03,0.913%,53.03,0.913%,,,,,,,
MUR,Murphy Oil Corporation Common Stock,75,45.09,4.11%,45.09,4.11%,,,,,,,
MUSA,Murphy USA Inc. Common Stock,46,282.18,-0.269%,282.18,-0.269%,,,,,,,
MXL,MaxLinear Inc. Common Stock,48,30.45,-0.066%,30.45,-0.066%,,,,,,,
MYOV,Myovant Sciences Ltd. Common Shares,5,24.11,-1.31%,24.11,-1.31%,,,,,,,
NAD,Nuveen Quality Municipal Income Fund Common Stock,36,10.93,-0.365%,10.93,-0.365%,,,,,,,
NARI,Inari Medical Inc. Common Stock,47,71.8,-5.227%,71.8,-5.227%,,,,,,,
NATI,National Instruments Corporation Common Stock,52,39.27,-0.305%,39.27,-0.305%,,,,,,,
NAVI,Navient Corporation Common Stock,62,15.03,-1.572%,15.03,-1.572%,,,,,,,
NBIX,Neurocrine Biosciences Inc. Common Stock,78,109.5,-2.839%,109.5,-2.839%,,,,,,,
NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares,68,13.91,-2.795%,13.91,-2.795%,,,,,,,
NCNO,nCino Inc. Common Stock,49,30.24,-3.108%,30.24,-3.108%,,,,,,,
NCR,NCR Corporation Common Stock,32,19.03,-2.908%,19.03,-2.908%,,,,,,,
NDAQ,Nasdaq Inc. Common Stock,91,56,-2.115%,56,-2.115%,,,,,,,
NDSN,Nordson Corporation Common Stock,27,216.76,-0.873%,216.76,-0.873%,,,,,,,
NEA,Nuveen AMT-Free Quality Municipal Income Fund Common Shares of Beneficial Interest Par Value $.01,59,10.61,-0.562%,10.61,-0.562%,,,,,,,
NEE,NextEra Energy Inc. Common Stock,42,73.64,-1.892%,73.64,-1.892%,,,,,,,
NEM,Newmont Corporation,41,40.37,-3.189%,40.37,-3.189%,,,,,,,
NEOG,Neogen Corporation Common Stock,32,10.9,-3.71%,10.9,-3.71%,,,,,,,
NEP,NextEra Energy Partners LP Common Units representing limited partner interests,74,70.85,-2.612%,70.85,-2.612%,,,,,,,
NET,Cloudflare Inc. Class A Common Stock,13,51.63,-2.75%,51.63,-2.75%,,,,,,,
NEU,NewMarket Corp Common Stock,90,312.49,-0.074%,312.49,-0.074%,,,,,,,
NEWR,New Relic Inc. Common Stock,68,57.09,0.00%,57.09,0.00%,,,,,,,
NEX,NexTier Oilfield Solutions Inc. Common Stock,94,10.65,4.514%,10.65,4.514%,,,,,,,
NFE,New Fortress Energy Inc. Class A Common Stock,93,47.73,4.351%,47.73,4.351%,,,,,,,
NFG,National Fuel Gas Company Common Stock,67,65.25,0.493%,65.25,0.493%,,,,,,,
NFLX,Netflix Inc. Common Stock,7,272.38,13.086%,272.38,13.086%,,,,,,,
